comp,func,id
unclassified,guide electrical,370
unclassified,guide mechanical,370
bearing,guide mechanical,370
belt,guide mechanical,370
cover,guide mechanical,370
cover,guide mechanical,370
divider,guide mechanical,370
shaft,guide mechanical,370
electric motor,guide mechanical,370
electric wire,guide mechanical,370
unclassified,guide mechanical,370
gear,guide mechanical,370
guiders,guide mechanical,370
hinge,guide mechanical,370
link,guide mechanical,370
nut-bolt,guide mechanical,370
punch,guide mechanical,370
rotational coupler,guide mechanical,370
spring,guide mechanical,370
support,guide mechanical,370
electric motor,guide radioactive/nuclear,370
lens,guide radioactive/nuclear,370
airfoil,guide solid,370
unclassified,guide solid,370
bearing,guide solid,370
belt,guide solid,370
blade,guide solid,370
bracket,guide solid,370
cover,guide solid,370
divider,guide solid,370
shaft,guide solid,370
electric motor,guide solid,370
gear,guide solid,370
nut-bolt,guide solid,370
punch,guide solid,370
sprocket,guide solid,370
wheel,guide solid,370
unclassified,guide status,370
transistor,import control,370
electric wire,import control,370
lens,import control,370
unclassified,import electrical,370
electric wire,import electrical,370
guiders,import electrical,370
link,import electrical,370
solder,import electrical,370
spring,import electrical,370
transistor,import radioactive/nuclear,370
airfoil,import solid,370
shaft,import solid,370
bearing,import solid,370
belt,import solid,370
blade,import solid,370
bracket,import solid,370
unclassified,import solid,370
cap,import solid,370
transistor,import solid,370
cover,import solid,370
cover,import solid,370
